অবসর, অবকাশ
অলি, ভ্রমর
ভাঙা, ভগ্ন
খণ্ডিত, ভগ্ন
চূর্ণিত, ভগ্ন
দুমড়ানো, ভগ্ন
কুঞ্চিত, ভগ্ন
স্তুতি, ভজন
আরাধনা, ভজন
সেবা, ভজন
প্রশংসা, ভজন
ভয়ঙ্কর, ভয়ানক
ভয়াবহ, ভয়ানক
খুব, ভয়ানক
ভীষণ, ভয়ানক
অবলম্বন, ভর
নির্ভর, ভর
সহযোগিতা, ভর
ভার, ভর
সত্তা, ভাব
অস্তিত্ব, ভাব
স্থিতি হওয়া, ভাব
জননী, মাতা
ক্ষিতি, মাটি
মৃত্তিকা, মাটি
জলধর, মেঘ
জীমূত, মেঘ
বারিদ, মেঘ
নীরদ, মেঘ
পয়োদ, মেঘ
ঘন, মেঘ
অম্বুদ, মেঘ
তায়দ, মেঘ
পয়োধর, মেঘ
বলাহক, মেঘ
তোয়ধর, মেঘ
নৃ, মানুষ
নর, মানুষ
নিধন, মৃত্যু
ইন্তেকাল, মৃত্যু
মহাপ্রস্থান, মৃত্যু
পরলোকগমন, মৃত্যু
নরপতি, রাজা
নৃপতি, রাজা
ভূপতি, রাজা
বাদশাহ, রাজা
রাজপাল, রাজা
মহীপাল, রাজা
সম্রাট, রাজা
রাত্রি, রাত
রজনী, রাত
নিশি, রাত
যামিনী, রাত
বিভাবরী, রাত
নিশা, রাত
নিশীথিনী, রাত
ক্ষপদা, রাত
ত্রিযামা, রাত
রাজ্ঞী, রানি
মহিষী, রানি
সম্রাজ্ঞী, রানি
রাজমহিষী, রানি
বেগম, রানি
লোহিত, লাল
রক্তবর্ণ, লাল
তপস্বী, ঋষি
মুনি, ঋষি
যোগী, ঋষি
সাধুপুরুষ, ঋষি
সমৃদ্ধ, ঋদ্ধ
উন্নত, ঋদ্ধ
পুষ্ট, ঋদ্ধ
কল্যাণকর, ঋদ্ধ
আর্তব, ঋতু
কাল, ঋতু
মরসুম, ঋতু
মরশুম, ঋতু
দেহ, শরীর
বিগ্রহ, শরীর
কায়, শরীর
কলেবর, শরীর
গা, শরীর
গাত্ৰ, শরীর
তনু, শরীর
অঙ্গ, শরীর
অবয়ব, শরীর
গুরু, শিক্ষক
ওস্তাদ, শিক্ষক
মাস্টার, শিক্ষক
টিচার, শিক্ষক
সাপ, সর্প
অহি, সর্প
আশীবিষ, সর্প
উরহ, সর্প
নাগ, সর্প
নাগিনী, সর্প
ভুজঙ্গ, সর্প
ভুজগ, সর্প
ভুজঙ্গম, সর্প
সরীসৃপ, সর্প
ফণী, সর্প
ফণাধর, সর্প
বিষধর, সর্প
বায়ুক, সর্প
বধূ, স্ত্রী
সোনা, স্বর্ণ
কনক, স্বর্ণ
কাঞ্চন, স্বর্ণ
সুবর্ণ, স্বর্ণ
হেম, স্বর্ণ
হিরণ্য, স্বর্ণ
হিরণ, স্বর্ণ
দেবলোক, স্বর্গ
বেহেশত, স্বর্গ
সুরলোক, স্বর্গ
দ্যু, স্বর্গ
ত্রিদশালয়, স্বর্গ
ইন্দ্রালয়, স্বর্গ
দিব্যলোক, স্বর্গ
জান্নাত, স্বর্গ
অভীক, সাহসী
নির্ভীক, সাহসী
সমুদ্র, সাগর
সিন্ধু, সাগর
অর্ণব, সাগর
জলধি, সাগর
জলনিধি, সাগর
বারিধি, সাগর
পারাবার, সাগর
রত্নাকর, সাগর
বরুণ, সাগর
দরিয়া, সাগর
বারীন্দ্র, সাগর
পাথার, সাগর
বারীশ, সাগর
পয়োনিধি, সাগর
তোয়ধি, সাগর
বারিনিধি, সাগর
অম্বুধি, সাগর
সবিতা, সূর্য
দিবাকর, সূর্য
দিনমণি, সূর্য
দিননাথ, সূর্য
দিবাবসু, সূর্য
অর্ক, সূর্য
তপন, সূর্য
আদিত্য, সূর্য
ভাস্কর, সূর্য
মার্তণ্ড, সূর্য
অংশু, সূর্য
কিরণমালী, সূর্য
অরুণ, সূর্য
মিহির, সূর্য
পূষা, সূর্য
সূর, সূর্য
বালকি, সূর্য
অর্যমা, সূর্য
মৃগ, হরিণ
কুরঙ্গ, হরিণ
সারঙ্গ, হরিণ
সুনায়ন, হরিণ
কর, হাত
বাহু, হাত
ভুজ, হাত
হস্ত, হাত
পাণি, হাত
হাতি, হস্তী
করি, হস্তী
দন্তী, হস্তী
মাতঙ্গ, হস্তী
গজ, হস্তী
ঐরাবত, হস্তী
দ্বিপ, হস্তী
দ্বিরদ, হস্তী
বারণ, হস্তী
কুঞ্জর, হস্তী
অকালকুষ্মাণ্ড, অপদার্থ
স্থাণু, অকালকুষ্মাণ্ড
কুলাঙ্গার, অকালকুষ্মাণ্ড
নেত্রবারি, অশ্রু
নয়নজল, অশ্রু
লোর, অশ্রু
আঁখিজল, অশ্রু
প্রদীপ্ত, উজ্জ্বল
বীচি, ঊর্মি
লহরী, ঊর্মি
কলকণ্ঠ, কোকিল
অন্যপুষ্ট, কোকিল
কপোত, কবুতর
পারাবাত, কবুতর
পায়রা, কবুতর
ইন্দ্রজাল, কুহক
ভেলকি, কুহক
জাদু, কুহক
কোমর, কটি
মাজা, কটি
কঙ্কাল, কটি
ময়ূখ, কিরণ
কোরক, কুঁড়ি
মুকুল, কুঁড়ি
কলিকা, কুঁড়ি
কেতু, পতাকা
বৈজয়ন্তী, পতাকা
বিনায়ক, গণেশ
লম্বোদর, গণেশ
গজানন, গণেশ
একদন্ত, গণেশ
কেশ, চুল
রসনা, জিহ্বা
রসজ্ঞ, জিহ্বা
জিব, জিহ্বা
অসি, তরবারি
খড়গ, তরবারি
কৃপাণ, তরবারি
শায়ক, তীর
শর, তীর
ইষু, তীর
বাণ, তীর
সায়ক, তীর
গাত্র, দেহ
কুশেশয়, পদ্ম
বসুমতী, পৃথিবী
অখিল, পৃথিবী
মহী, পৃথিবী
অদ্য, পৃথিবী
পুষ্করিণী, পুকুর
জলাশয়, পুকুর
তালাব, পুকুর
শস্য, ফল
প্রসূন, ফল
পাড়ানি, ফল
শিখণ্ডী, ময়ূর
শিখী, ময়ূর
কলাপী, ময়ূর
কেকী, ময়ূর
ক্ষণদা, রাত
মহীপতি, রাজা
ক্ষিতীশ, রাজা
পন্নগ, সাপ
অংশুমালী, সূর্য
ত্রিদশপুর, স্বর্গ
চক্ষু, চোখ
তলোয়ার, অসি
