
ভাবী,ভবিষ্যতে হবে এমন
বন্ধুর,কোথাও উঁচু কোথাও বা নিচু
কলাবিদ,কলাজ্ঞান আছে যার
কৃতকার্য,কার্য যার সফল হয়েছে
কেঠো,কাঠের নির্মিত
ক্রমবর্ধমান,ক্রমে যা বেড়ে চলছে
কিংকর্তব্যবিমূঢ়,কি করতে হবে যে স্থির করতে পারে না
কাকপক্ষ,কানের পাশে লম্বিত কেশগুচ্ছ
কৃত্তিবাস,কৃতি বাস (পোশাক) যার
কোটনা/কূটনী (স্ত্রী),কান ভাঙিয়ে বিবাদ সৃষ্টি করে যে
কদাকার,কুৎসিত আকার যার
ক্রেঙ্কার,কর্কশ ধ্বনি
কৃষিমাতা,কৃষি মাতা যে দেশের
কৃষাণী,কৃষকের পত্নী
কালীন,কালে যা ঘটে
কারুণিক,করুণা আছে যার
কালমেঘ,কৃষ্ণবর্ণ মেঘ
কুণ্ঠঘ্ন,কুণ্ঠনাশ করে যা
কুম্ভকার,কুম্ভ করে যে
কলমদানি,কলম রাখার পাত্র
কাগজে,কাগজে তৈরি
কৃষ্ণকান্ত,কৃষ্ণের ন্যায় কমনীয়
কৃষিজ,কৃষি থেকে উৎপন্ন
কৈশিক,কেশ সম্বন্ধীয়
কুপন,কোনো লেখনের ছেঁড়া অংশ
চিকীর্ষু,করতে ইচ্ছুক
চিকীর্ষা,করতে ইচ্ছা
চলোর্মি,ক্রীড়নশীল তরঙ্গ
চলনসই,কাজ চালানোর উপযুক্ত
দৌহিত্র,কন্যার পুত্র
নিরপেক্ষ,কারো অপেক্ষা রাখে না যে
নাছোড়বান্দা,কিছুতেই ছাড় নেই যা
পল্লবগ্রাহিতা,কোন বিষয়ে সম্পূর্ণ না জেনে সকল বিষয়ে কিছু কিছু জানা
বুক্কন,কুকুরের ডাক
বীতশ্রদ্ধ,কোন বিষয়ে যে শ্রদ্ধা হারিয়েছে
মেখলা,কটিদেশের বস্ত্র, অলঙ্কার প্রভৃতি
রত্নি,কনুই থেকে বদ্ধ মুষ্টি পর্যন্ত পরিমাণ
রসকলি,কপালে আঁকা তিলক
শাদ্বল,কচি তৃণাবৃত ভূমি
সহিষ্ণু,কষ্ট সহ্য করে যে
পাখা,পাখির ডানা 
সমাবর্তন,পাঠ সমাপনান্তে ছাত্র-ছাত্রীদের মিলন 
পাণ্ডব,পাণ্ডুর পুত্র 
রসিদ,প্রাপ্তি স্বীকারপত্র 
উতরাই,পাহাড়ের নিম্নমুখী পথ 
গিরিশৃঙ্গ,পাহাড়ের উপরের সমতলভূমি 
বেহারা,পালকি বহন করে যারা 
বিরল,প্রায় নেই বললেই চলে 
নিমরাজি,প্রায় রাজি 
প্রপিতামহ,পিতার পিতামহ 
প্রিয়ংবদা,প্রিয় কথা বলে যে নারী 
অর্ঘ্য,পূজার উপকরণ 
পূজ্য,পূজা পাওয়ার যোগ্য 
পূর্ণচন্দ্র,পূর্ণিমার চাঁদ 
পৌরাণিক,পুরাণ সম্বন্ধীয় বিষয় 
আনুপূর্বিক,পূর্ব হতে 
ভূতপূর্ব,পূর্বে ছিল এখন নেই 
অভূতপূর্ব,পূর্বে যা ঘটেনি 
দেদীপ্যমান,পুনঃপুনঃ দীপ্তি পাচ্ছে যা 
অদৃষ্টপূর্ব,পূর্বে যা দেখা যায়নি 
সুপ্তোত্থিত,পূর্বে সুপ্ত পরে উদ্যত 
রোরুদ্যমান,পুনঃপুনঃ রোদন করে যে 
পোষ্য,পোষণযোগ্য 
ঈপ্সিত,পেতে ইচ্ছে করছে যে বস্তু 
কাম্য,পেতে ইচ্ছে হয় যা 
লিপ্সু,পেতে ইচ্ছুক 
ঈপ্সা,পেতে ইচ্ছা 
ভূয়দর্শন,পৃথিবী ও পার্থিব সব কিছুর জ্ঞান 
পাদ্য,পা ধুইবার জল 
প্রতিচিকীর্ষা,প্রতিকার করার ইচ্ছা 
প্রতিচিকীর্ষু,প্রতিকার করতে ইচ্ছুক 
অশ্রুতপূর্ব,পূর্বে যা শোনা যায়নি 
অচিন্তিতপূর্ব,পূর্বে যা চিন্তা করা হয়নি 
অগ্রজ,প্রথমে জন্মেছে যে 
অপুত্রক,পুত্র নেই যার 
অঞ্জন,প্রদীপ শীর্ষের কালি 
অপলক,পলক পড়ে না যাতে 
অপ্রতিবিধেয়,প্রতিবিধান করা যায় না যা 
অপেয়,পান করার যোগ্য নয় 
অবীরা,পতিপুত্রহীনা নারী 
অপরিমেয়,পরিমাণ করা যায় না 
অনুগামী,পশ্চাতে গমন করে যে 
আপাতমধুর,প্রথমে মধুর কিন্তু পরিণামে নয় 
কোলাকুলি,পরস্পরের আলিঙ্গন 
ঘাগী,পুনঃপুনঃ যা খেয়ে অভিজ্ঞ হয়েছে যে 
ছদ্মবেশী,পরিচ্ছদের দ্বারা নিজেকে গোপন করে রাখে যে 
তিলতিল,পেটের পীড়া ও দাস্তহুজুর 
তাণ্ডব,পুরুষের উদ্দাম নৃত্য 
পরশ্রীকাতর,পরের ভাল যে দেখতে পারে না 
পাদপ,পা দিয়ে পান করে যে 
পাখসাট,পাখির ডানা ঝাপটা 
প্রিয়চিকীর্ষা,প্রিয় কাজ করার ইচ্ছা 
পুরাতাত্ত্বিক,পুরাকালের বিষয়ে জানেন যিনি 
পরিণামদর্শী,পরিণাম চিন্তা করে যে কাজ করে 
পরিমল,পিষ্ট দ্রব্যের গন্ধ 
পিপাসা,পান করার ইচ্ছা 
পৌরব,পুরন্দরজের বংশজাত 
প্রভাতে গেয় সঙ্গীত,প্রভাতে গেয় সঙ্গীত— প্রভাতী 
পর্ণশালা,পাতা দিয়ে ছাওয়া ঘর 
পঙ্গু,পায়ে হেঁটে যে গমন করে না 
পণ্ডিতমূর্খ,পণ্ডিত হয়েও যে মূর্খ 
পটকা,পট শব্দকারী আতশবাজী 
পুত্রেষ্টি,পুত্র লাভের আশায় যজ্ঞ 
পদব্রজ,পায়ে হাঁটা 
পঙ্কজ,পঙ্কে জন্মে যা 
পাপোশ,পা মুছার জন্য আস্তরণ 
অকূল,যে কূল বা বংশের সাথে বিবাহাদি চলে না 
অকৃতকার্য,যার চেষ্টা সফল হয়নি 
অকৃতাপরাধ,যে দোষ করেনি 
অখ্যাতনামা,যার নাম খ্যাত নয় 
অগণিত,যা গুণে শেষ করা যায় না 
অগন্তব্য,যেখানে যাওয়া উচিত নয় 
অচিন্তনীয়,যা ভাবা যায় না 
অচিন্তিতপূর্ব,যা পূর্বে চিন্তা বা অনুমান করা হয়নি 
অচেষ্টিত,যার জন্য চেষ্টা করা হয়নি 
অজ্ঞাতপূর্ব,যা পূর্বে জানা যায়নি 
অতলস্পর্শ,যার তল স্পর্শ করা যায় না 
অদম্য,যাকে দমন করা যায় না 
অদাহ্য,যা আগুনে পোড়ে না 
অদৃষ্টবাদী,যে ব্যক্তি সম্পূর্ণ অদৃষ্টের ওপর নির্ভর করে চলে 
অধরা,যাকে ধরা যায়নি 
অনধিকারচর্চা,যে বিষয়ে অভিজ্ঞতা নেই সে বিষয়ে আলোচনা 
অনপেক্ষ,যে অপরের ওপর নির্ভর করে না 
অনামুখো,যার মুখ দেখলে অমঙ্গল হয় 
অনিবার্য,যা ঘটবেই 
অনুপম,যার উপমা নেই 
অনুপ্ত,যা বপন করা হয়নি 
অন্তর্যামী,যিনি অন্তরে অবস্থান করেন 
অপকৃত,যার অপকার হয়েছে 
অপরাজিত,যে পরাস্ত হয়নি 
অবিসংবাদিত,যাতে বিরোধ বা মতভেদ নেই 
অলৌকিক,যা ইহলোকের নয় 
অশ্রুত,যা শোনা যায়নি 
আত্মজ্ঞ,যে নিজের দোষগুণ বা স্বভাব জানে 
আদ্রিয়মান,যে আদর পাচ্ছে 
আবাগা,যে বাগ বা বশ্যতা মানে না 
আরভ্যমান,যা আরম্ভ হচ্ছে 
উড্ডুক,যে উড়িতে পারে 
উৎপাদ্যমান,যা উৎপাদিত হচ্ছে 
উন্নীত,যার উন্নতি বা উৎকর্ষ সাধিত হয়েছে 
উষ্ণালু,যে উত্তাপ সহ্য করতে পারে না 
একপত্নীক,যে দ্বিতীয়বার বিবাহ করেনি 
কর্মবীর,যে মহৎকর্মে সিদ্ধি লাভ করে 
কর্তিত,যা কাটা হয়েছে 
কলহান্তরিকা,যে নায়িকা নায়কের সাথে কলহজনিত বিচ্ছেদে অনুতাপ করে 
কাপুরুষ,যার পুরুষোচিত সাহস নেই 
কুন্দনী,যে স্ত্রীর ঝগড়া স্বভাব 
কুম্ভিল,যে অপরের লেখা হতে চুরি করে 
কুলাঙ্গার,যে ব্যক্তি কুলের কলঙ্কস্বরূপ 
কৃতার্থমন্য,যে নিজেকে কৃতার্থ মনে করে 
ভিদ্যমান,যে ভেদ করছে 
জ্ঞায়মান,যা অনুমান করা যাচ্ছে 
গাড়ল,যে পরের বুদ্ধিতে চলে 
ঘনীমান,যা ঘন হচ্ছে 
ঘূর্ণমান,যাকে ঘোরানো হচ্ছে 
চর্ব্য,যা চিবিয়ে খেতে হয় 
চিত,যা চয়ন করা হয়েছে 
চিন্ত্যমান,যা চিন্তা করা হয়েছে 
চিরপ্রচলিত,যা চিরকাল ধরে চলে আসছে 
চিরপ্রবাহিনী,যার প্রবাহ কোনোদিন বন্ধ হয় না 
চিরবসন্ত,যেখানে সারা বছর বসন্ত ঋতু বিদ্যমান 
চিররহস্য,যে রহস্যের সমাধান কখনোই হয় না 
চোষ্য,চুষে খাবার যোগ্য 
চৌকস,যার চারিদিক নজর আছে 
স্থূম্মতি,যার বুদ্ধি লোপ হয়েছে 
জাতাপত্যা,যে স্ত্রীর সন্তান জন্মেছে 
জাতিস্মর,যার পূর্বজন্মের কথা স্মরণে আছে 
জালিম,যে দুর্বলের ওপর জুলুম করে 
জিজ্ঞাসক,যে জিজ্ঞাসা করে 
জেয়,যাকে জয় করা যেতে পারে 
জ্ঞানপাপী,যে জেনে পাপ করে 
পাঁচফোড়ন,পাঁচ মিশালী মশলা 
পঠিত,পড়া হয়েছে যা 
পঠিতব্য,পড়ার উন্মুখ 
পাতিব্রত্য,পতিব্রতার ধর্ম 
প্রাক্তন,পূর্বকাল সম্পর্কিত 
বীরবৌলি,পুরুষের কণ্ঠভূষণ 
বালার্ক/বালসূর্য,প্রভাতের নবোদিত সূর্য 
মৃতকল্প,প্রায় মৃত 
মাধুকরী,পরিব্রাজকের ভিক্ষা 
ছিদ্রান্বেষী,পরের ছিদ্র অন্বেষণ করা স্বভাব যার 
অভিমান,প্রিয়জনের ত্রুটির জন্য ক্ষোভ 
ঝটপটি,পাখির পাখার শব্দ 
তিতীর্ষু,পার হতে ইচ্ছুক 
পদদলিত,পা দিয়ে মাড়ানো হয়েছে যা 
পরচর্চা,পরের সম্বন্ধে আলোচনা 
পরভৃৎ,পরের শাবককে পালন করে যে 
পরোপচিকীর্ষা,পরের উপকার করার ইচ্ছা 
পঙ্ক্তেয়,পঙক্তিতে স্থান পাবার যোগ্য 
পিতৃব্য,পিতার ভ্রাতা 
অনাস্বাদিতপূর্ব,পূর্বে যা আস্বাদিত হয়নি 
অধিবেত্তা,প্রথম স্ত্রী বর্তমান থাকা অবস্থায় পুনর্বার বিবাহিত স্বামী 
প্রকাশিতব্য,প্রকাশ হবে এমন বা প্রকাশিত হবে এমন 
প্রজাতান্ত্রিক,প্রজাতন্ত্রবিধি দ্বারা শাসিত 
প্রতিদেয়,প্রতিদানের যোগ্য 
প্রতিপাদক,প্রতিপাদন করেন যিনি 
প্রতিপাদ্য,প্রতিপাদনের যোগ্য 
প্রতিপালনীয়,প্রতিপালন করতে হবে এমন 
প্রতিপালিত,প্রতিপালন করা হয়েছে এমন 
পতিব্রতা,পতিসেবাকে পুণ্যরূপে গ্রহণ করেছে এমন 
পতনশীল,পড়ে যাচ্ছে এমন 
পতনোন্মুখ,পতিত হবার উপক্রম হয়েছে এমন 
পদকর্তা/পদকার,পদ রচনা করেন যিনি 
পদলেহী,পরের পায়ে অত্যন্ত হীনভাবে লেহন করে যে 
পদস্থ,পদে অধিষ্ঠিত 
পদাশ্রয়ী,পদে আশ্রয় গ্রহণ করেছে এমন 
পরকীয়,পর সম্পর্কীয় 
পরজীবী,পরলোকে আশ্রয় করে বেঁচে থাকে যে 
পরান্নজীবী,পরের আয়ে যে জীবন ধারণ করে থাকে 
পরশ্রীকাতর,পরের উন্নতি বা শ্রী দেখে যার মন খারাপ হয় 
পশ্চাদগামী,পশ্চাতে গমন করে যে 
পশ্চাদ্ধাবন,পশ্চাতে পশ্চাতে সরণ করা 
জাতিস্মর,পূর্বজন্মের কথা স্মরণ আছে যার 
পোতাশ্রয়,পোত বা জাহাজের জন্য নিরাপদ আশ্রয় স্থান 
পোষক,পোষণ করে যে 
পৌরুষ,পুরুষোচিত ভাব ধর্ম বা আচরণ 
প্রকাশক,পুস্তকাদি প্রকাশ করেন যিনি 
পূজনীয়,পূজা করা যায় যাকে 
প্রবর্তক,প্রবর্তন করেন যিনি 
পটুয়া,পট আঁকে যে 
পার্বতী,পর্বতের কন্যা 
প্রমেয়,প্রমাণ করা যায় যা 
অপ্রমেয়,প্রমাণ করা যায় না যা 
প্রেমীষা,প্রেম করার ইচ্ছা 
পথিকৃৎ,প্রথমে পথ দেখান যিনি 
পার্থিব,পৃথিবীর সাথে সম্পর্কযুক্ত যা 
অপরিহার্য,পরিহার করা যায় না যা 
প্রভাতকল্পা,প্রায় প্রভাত হয়েছে এমন 
পৌষালি,পৌষ মাসে উৎপন্ন ফসল 
মৃণাল,পদ্মের ডাঁটা বা নাল 
মৃণালিনী,পদ্মের ডাঁটা বাড বা মৃণালসমূহ 
প্রশংসার্হ,প্রশংসার যোগ্য 
পৌর্বাপর্য,পূর্ব ও পরের অবস্থা 
সরাসন,পুরুষের কটিবন্ধ 
পরভৃৎ,পরকে পালন করে যে 
পরভৃত,পরের দ্বারা প্রতিপালিত যে 
অশিক্ষিতপটুত্ব,পূর্বে কোনো শিক্ষালাভ না করা সত্ত্বেও যে পারদর্শিকা 
অকালমৃত্যু,আয়ুষ্কাল পূর্ণ না হয়ে মৃত্যু 
আবেদনীয়,আবেদনের যোগ্য 
আচারনিষ্ঠ,আচারে নিষ্ঠা আছে যার 
আঠালো,আঠাযুক্ত যা 
আয়ুষ্য,আয়ুর পক্ষে হিতকর 
কৃতার্থমন্য,আপনাকে কৃতার্থ মনে করেন যিনি 
পণ্ডিতম্মন্য,আপনাকে পণ্ডিত মনে করেন যিনি 
আতপশুষ্ক,আতপে শুষ্ক যাহা 
অনাদি,আদি নেই যা 
আস্তিক,আল্লাহর ওপর বিশ্বাস আছে যার 
নাস্তিক,আল্লাহর ওপর বিশ্বাস নেই যার 
মিতব্যয়ী,আয় অনুসারে ব্যয় করেন যিনি 
অমিতব্যয়ী,আয় অনুসারে ব্যয় করেন না যিনি 
অশ্রুতপূর্ব,আগে কখনো শোনা যায়নি যা 
আরাধ্যা,আরাধনা করার যোগ্য 
আত্মকর্তৃত্ত্ব,আপন কর্তৃত্ত্ব যেখানে শুরু 
আধ্যাত্মিক,আত্মার সম্বন্ধীয় বিষয় 
াত্মীয়,আত্মার সাথে সম্পর্ক যা 
আচরণীয়,আচরণের যোগ্য 
আনন্দপ্রদ,আদর প্রদান করে যে 
আশাতীত,আশাকে অতিক্রম করে যে 
আত্মকেন্দ্রিক,আপনাকে কেন্দ্র করে যার চিন্তা 
খ-ধূপ,আকাশে (খ-তে) ওড়ে বাজি 
আতপত্র,আতপ থেকে ত্রাণ করে যা 
অনায়ত্ত,আয়ত্ত করা হয়নি এমন 
অপ্রত্যাশিত,আশা করা যায়নি এমন 
অপ্রাসঙ্গিক,আলোচ্য বিষয়ের সাথে সম্পর্কহীন 
আক্রান্ত,আক্রমণ করা হয়েছে এমন 
আরদ্ধ,আরম্ভ করা হয়েছে 
আরূঢ়,আরোহণ করেছে এমন 
উপক্রমণীয়,আরম্ভ করার যোগ্য 
আকাঙ্ক্ষণীয়,আকাঙ্ক্ষা করার যোগ্য 
চিরাচরিত,আবহমান কাল ধরে অনুষ্ঠিত 
দুরাক্রম্য,আক্রমণ করা কঠিন 
দুরারোহ,আরোহণ করা শক্ত 
হৃতাদর,আদর বা সম্মান নষ্ট হয়েছে এমন 
বিচরণ,ইতস্তত ভ্রমণ 
ভ্রাম্যমাণ,ইতস্তত গমনশীল 
দাগী,ইতোপূর্বে দণ্ডিত ব্যক্তি 
ঐতিহাসিক,ইতিহাস জানেন যিনি 
ঐরাবত,ইরাবতে জাত 
পরলোক,ইহলোকের পরবর্তী লোক 
ঈদৃশ,ইহার তুল্য বা সদৃশ 
স্বেচ্ছাচারী,ইচ্ছামতো কাজ বা আচরণ যে করে 
ঐচ্ছিক,ইচ্ছার অনুরূপ বা অধীন 
ইন্দ্রজিৎ,ইন্দ্রকে জয় করেছে যে 
জিতেন্দ্রিয়,ইন্দ্রিয়কে জয় করেছেন যিনি 
যথেষ্ট,ইষ্টকে অতিক্রম না করে 
ঐহিক/ইহলৌকিক,ইহলোক বিষয়ক 
ঐন্দ্রজালিক,ইন্দ্রজাল জানেন যিনি 
ইন্দ্রাণী,ইন্দ্রের পত্নী 
অট্টালিকা,ইষ্টক নির্মিত ঘর 
ফতোয়া,ইসলামী শাস্ত্র অনুযায়ী নির্দেশ 
আলোকসামান্য,ইহলোকে সামান্য নয় 
কাফের,ইসলামে অবিশ্বাসী 
নন্দন,ইন্দ্রের বাগান 
দম,ইন্দ্রিয়ের সংযম 
ঐক্ষিক,ইক্ষু বিষয়ক 
ইদানীং,ইতোমধ্যেকার ঘটনা 
ইতিহাসবেত্তা,ইতিহাসে অভিজ্ঞ যিনি 
ইহকালসর্বস্ব,ইহকালই সর্বস্ব যা 
ঐন্দ্রজালিক,ইন্দ্রজাল (যাদু) বিদ্যায় পারদর্শী 
উচ্চৈঃশ্রবা,ইন্দ্রের অশ্ব 
অজর,জরাজীর্ণ হয় না এমন 
অজ্ঞেয়,জানতে বা বুঝতে পারা যায় না এমন 
জ্ঞাত/বিদিত,জানা হয়েছে এমন 
মুক্তা,ঝিনুকের গর্ভজাত রত্ন 
ঝঞ্চার/ঝনৎকার,ঝন ঝন শব্দ 
ঝাড়ন,ঝাড়পোছ হয় যার দ্বারা 
ঝটকা,ঝট করে টান 
ঝাপট,ঝড়ের প্রচণ্ড ধাক্কা 
ঝগড়াটে,ঝগড়া করা স্বভাব যার 
ঝলমলে,ঝলকে ঝলকে উজ্জ্বলতা প্রকাশ পায় যার 
নিটোল,টোল পড়েনি এমন 
কস্তা,টকটকে লাল 
মহাজনী,টাকা ধার দেয়ার কাজ 
টলটলায়মান,টলে পড়ে যাওয়ার উপক্রম হয়েছে এমন 
টিপকল,টিপিয়া আটকানো যায় এমন যন্ত্রযুক্ত দ্রব্যাদি 
টিপটিপে,টিপটিপ করে ভয়ে বা দুর্বলতায় যার অন্তর 
টপুটপে,টপুটপ করে পড়ে এমন 
টসটসে,টসটস করছে এমন 
ডাকহরকরা,ডাক বহন করে যে 
বৈঠা,ডিঙি বাইবার দাঁড় 
তা,ডিম ফোটানোর জন্য তাপ 
ডিম্বাণু,ডিম্বাশয়ের মধ্যে প্রাণকোষ 
আনারকলি,ডালিমের কুঁড়ি 
ডুবুরী,ডুব দিয়ে আনে যে 
ডুবুডুবু,ডুবার অবস্থা হয়েছে এমন 
ডুবন্ত,ডুবে যাচ্ছে যা 
ডাকমাশুল,ডাকের জন্য নির্ধারিত মাশুল 
ডাকপিয়ন,ডাকঘরের চিঠি বিলি করে যে পিয়ন 
ঢাকাই,ঢাকায় প্রস্তুত 
ঢ্যাপসা,ঢিপির মতো 
ঢাকী,ঢাক বাজায় যে 
ছলছল,ঢেউয়ের ফলে হঠাং ছল শব্দ 
তাদৃশ,তার মতো 
তবলচি,তবলায় দক্ষ বা নিপুণ 
তপোবন,তপস্যার নিমিত্ত বন 
তীরন্দাজ,তীর নিক্ষেপে ওস্তাদ 
ত্রিপদী,তিন পদের সমাহার 
বেতাল,তালের অভাব 
তালব্য,তালু থেকে উচ্চারিত 
সতর্ক,তর্কের সাথে বর্তমান 
তার্কিক,তর্কশাস্ত্রে পটু 
তুরগ,ত্বরায় গমন করে যে 
তেহাই,তিন ভাগের এক ভাগ 
ত্রিবেণী,তিন বেনীর সমাহার 
ত্রিফলা,তিন ফলের সমাহার 
উপনগর,নগরের উপকণ্ঠে 
উলুক,নীলবর্ণ বানর 
ওয়াদা,নির্ধারিত সময় 
কুশীলব,নাটকের পাত্রপাত্রী 
ছিঁচকাঁদুনে,নিয়ত বা সহজে কাঁদে যে 
কুলপি,নলের আকারে জমানো বরফ 
খেয়াঘাট,নদীতে পার হবার স্থান 
জুগুপ্সা,নিন্দা করার ইচ্ছা 
জুগুপ্সিত,নিন্দিত হয়েছে যা 
নমস্য,নমস্কারের যোগ্য 
নন্দাই,ননদের স্বামী 
নিন্দনীয়/নিন্দাই,নিন্দার যোগ্য 
নিক্বণ,নূপুরের ধ্বনি 
নাব্য,নৌ চলাচলের যোগ্য 
নিদাঘ,অত্যন্ত দগ্ধ হয় যে সময়ে 
নীরদ,নীর দান করে যে 
নাবিক,নৌকা চালায় যে 
নিত্যানন্দ,নিত্য আনন্দ যার 
পণ্ডিতম্মন্য,নিজেকে পণ্ডিত মনে করে যে 
হীনম্মন্যতা,নিজেকে হীন মনে করা 
দুর্নিবার,নিবারণ করা কঠিন যা 
অন্তঃসলিলা,নিচে জল আছে যার 
ধেনু,নবপ্রসূতা গাভী 
ধন্যম্মন্য,নিজেকে ধন্য মনে করে যে 
হক,ন্যায্য প্রাপ্য 
নির্যাস,নিষ্কাসিত সারবস্তু 
সৈকত,নদীর বালুকাময় তট 
নদীমাতৃক,নদী মাতা যে দেশের 
রক্ষণশীল,নতুনত্বে বিরোধী 
নবারুণ,নতুন সূর্য 
মহরৎ,নতুন আরম্ভ 
নবান্ন,নতুন অন্নের উৎসব 
অবাধ্য,নয় বাধ্য 
অপ্রিয়,নয় প্রিয় 
নাতিদীর্ঘ,নয় অতিদীর্ঘ 
নিমূল,নেই মূল যার 
নিৰ্মল,নেই মল যার 
নিৰ্মম,নেই মমতা যার 
নিষ্ফল,নেই ফল যার 
নিরপেক্ষ,নেই পক্ষ যার 
নিষ্কর্মা,নেই কর্ম যার 
বেঈমান,নেই ইমান যার 
নিরাশা,নেই আশা যার 
দিগম্বর,নেই আবরণ যার 
নিরানন্দ,নেই আনন্দ যার 
অরাজক,নেই রাজা যে দেশে 
নাসিক্য,নাসিকা হতে উচ্চারিত 
লাস্য,নারীর লীলায়িত নৃত্য 
ন্যাকামি,ন্যাক্কার ভাব 
ইনসাফ,ন্যায় বিচার 
নৈয়ায়িক,ন্যায়শাস্ত্র জানেন যিনি 
স্বয়ংবরা,নিজেই পতি নির্বাচন করে যে 
স্বায়ত্তশাসন,নিজেদের পরিচালিত শাসন 
অনাহূত,নিমন্ত্রণ না করা সত্ত্বেও যিনি উপস্থিত 
নবোঢ়া,নতুন বিবাহিত স্ত্রী 
মানক,মাপার দ্রব্য 
নটরাজ,নৃত্য কলার উদ্ভাবক 
নিরস্ত্র,নেই অস্ত্র যার 
নিরুত্তর,নেই উত্তর যার 
হমম্মতা,নিজেকে বহু ভাবে যে 
সয়ম্ভূ,নিজেকে যে নিজেই সৃষ্টি করেছে 
নিরাকার,নেই আকার যার 
নির্লজ্জ,নেই লজ্জা যার 
নিস্পৃহ,নেই শঙ্কা যার 
নিরুৎসাহ,নেই উৎসাহ যার 
নিষ্কলুষ,নেই কলুষ যাতে 
কানাকানি,কানে কানে যে কথা 
প্রতিকূল,কুলের বিপরীত 
শিশমহল,কাচের তৈরি ঘর 
ভাবমূর্তি,কল্পনার দ্বারা রচিত মূর্তি 
সহকারী,কাজে সাহায্য করে যে 
কপিশ,কালো হলুদের মিশানো রং 
বিসমিল্লাহ,কাজের শুরুতে আল্লাহর নামে দোহাই 
কীর্তিবাস,কীর্তির মধ্যে বসতি যার 
প্রতিফল,কৃত কর্মের ফল 
যক্ষ,কুবেরের ধন রক্ষক 
বায়না/আগম,কেনার আগে দামের যে অংশ দেয়া হয় 
বাকনিষ্ঠ,কথা দিয়ে যিনি কথা রাখেন 
প্রতিক্রিয়া,ক্রিয়ার বিপরীত 
নিকষিত,কষ্টি পাথরে ঘর্ষিত 
আগাছা,কোনো উপকারে আসে না যে গাছ 
চড়াই,ক্রমশ উঁচু রাস্তা 
ঠোঁটকাটা,কিছু বলতে যার ঠোঁটে বাধে না 
ভনিতা,কবির পরিচয় জ্ঞাপক উক্তি 
অমর,কখনো মৃত্যু হয় না 
বাগীশ,কথায় পটু 
ছিঁচকাঁদুনে,কথায় কথায় যে কাঁদে 
করণীয়,করার যোগ্য 
নিকর,কর দিতে হয়না যে জমির 
দোদুল্যমান, ক্রমাগত দুলছে এমন 
নাবাল,ক্রমশ নিচু 
কর্মচারী,কর্মে চারণ করে যে 
আশীর্বাদ,কল্যাণ কামনায় উচ্চারণ 
দুর্নিবার,কষ্টে নিবারণ করা যায় যা 
কষ্টসহিষ্ণু,কষ্ট সহ্য করতে পারে যে 
অকূল,কুলের যোগ্য 
অকুতোভয়,কোথা হতে ভয় নেই যার 
দূরুচ্চার্য,কষ্টে উচ্চারণ করতে হয় না 
নিঃস্ব,কিছু নেই যার 
পুকুরনী,কৃত্রিম জলাশয় 
কোমুদিনী,কুমুদশোভিত পুকুরিনী 
এককাগ্রচিত্ত,কেবল এক বিষয়ে চিত্ত যার 
তন্মাত্র,কেবল তাই 
কুহু,কোকিলের ডাক 
লিপ্সা,কোনো কিছু পাওয়ার ইচ্ছা 
দক্ষিণ,কোনো কিছুর চারদিকে আবর্তন 
পথিকৃৎ,কোনো বিষয়ে নতুন পথ নির্দেশ করে যে 
যথাক্রমে,ক্রমকে বজায় রেখে 
ক্রমাগত,ক্রমে এসেছে যা 
বীতকাম,কামনা দূর হয়েছে যার 
অকাতরে,কাতর না হয়ে 
কর্মঠ,কর্মে অতিশয় দক্ষ 
কর্মকুশল,কর্মে অতিশয় কুশল 
অক্লান্তকর্মী,কর্মে যার ক্লান্তি নেই 
অজানসারে,কেউ জানতে না এভাবে 
অজেয়,কেউ যাকে জয় করতে পারে না 
কিংকর্তব্য,কি করা উচিত 
কমবয়সী,কম বয়স যার 
দিগ্বিদিকজ্ঞানশূন্য,কোনটি দিক কোনটি বিদিক এই জ্ঞান নেই যার 
কাঠঠোকরা,কাঠে ঠক ঠক করে ঠোকরায় যে 
কাটুরিয়া,কাঠ কাটে যে 
কষ্টকর,কষ্টে করা যায় যা 
কুশপা,কুশের মতো সরু ও দুর্বল পা যার 
কুলটা,কুল ত্যাগ করে যে 
কুলাঙ্গার,কুলের কীর্তিতে কলঙ্ক লেপন করে যে 
কুলতিলক,কুলের অলঙ্কার বা বিশেষ মর্যাদা আনয়ন করে যে 
কুললক্ষ্মী,কুলের কল্যাণস্বরূপ যে গৃহিণী 
কুলপ্রদীপ,কুলের কীর্তি বর্ধনকারী যে সন্তান 
কুলধর্ম,কুলের বা বংশের বিশেষভাবে আচরিত যে ধর্ম 
কুলাভিমানী,কুলের আভিজাত্যের পরে গর্বিত যারা 
ক্রীতদাস,ক্রীত হয়েছে যা জীবনের জন্য যে দাস 
ক্রেতব্য,ক্রয় করা উচিত যা 
পাস্থশালা,পথিকদের আহারাদি করার গৃহ 
পথিক,পথ দিয়ে হেঁটে চলে যে 
পাথেয়,পথ চলার খরচ 
পটুয়া,পট আঁকেন যিনি 
অপাঙ্ক্তেয়,পঙক্তিতে বসার অযোগ্য 
উনপাঁজুরে,পাজরের হাড় কম যার 
অনুজ,পরে জন্মেছে যে 
মিতব্যয়ী,পরিমিত ব্যয় করে যে 
মিতাহারী,পরিমাণ মত খায় যে 
