অংশ,পূর্ণ
রঙিন,সাদা
রচন,পাঠ
রজত,স্বর্ণ
রণ,শান্তি
রত,বিরত
রদ,বজায়
রসিক,বেরসিক
রহস্য,স্পষ্ট
রাগী,শান্ত
রাজা,প্রজা
রাজি,নারাজ
রাত্রি,দিবা
রাম,রাবণ
রাষ্ট্র,ব্যক্তি
রুক্ষ,স্নিগ্ধ
রুগ্ন,সুস্থ
রুচি,অরুচি
রুদ্ধ,মুক্ত
রূপ,অরূপ
রেয়াত,কড়াকড়ি
রোগ,স্বাস্থ্য
রোগা,মোটা
রোদ,বৃষ্টি
রোষ,তোষ
লম্বা,বেঁটে
লয়,সৃষ্টি
লঘু,গুরু
লজ্জা,নির্লজ্জতা
লড়ন,থামা
লব,হর
লাভ,ক্ষতি
লিখিত,মৌখিক
লিপ্ত,নির্লিপ্ত
লীন,প্রকাশিত
লুণ্ঠন,রক্ষা
লুপ্ত,ব্যক্ত
লেখা,পড়া
লোভ,সন্তোষ
লোভী,নির্লোভ
লৌকিক,অলৌকিক
লৌহ,স্বর্ণ
শক্ত,নরম
শত্রু,মিত্র
শব্দ,নিঃশব্দ
শয়ন,জাগরণ
শয়তান,দেবতা
শরণ,লড়াই
শরিফ,রজিল
শহুরে,গেঁয়ো
শহর,গ্রাম
শান্ত,উগ্র
শান্তি,অশান্তি
শাপ,বর
শারীরিক,মানসিক
শাশ্বত,নশ্বর
শাসক,শাসিত
শাস্তি,পুরস্কার
শাস্ত্র,লোক
শিক্ষক,ছাত্র
শিক্ষিত,অশিক্ষিত
শিথিল,দৃঢ়
শির,পদ
শিশির,আতপ
শিশু,বৃদ্ধ
শিষ্য,গুরু
শীত,গ্রীষ্ম
শীতল,উষ্ণ
শীঘ্র,বিলম্বে
শীর্ণ,স্থূল
শুদ্ধ,অশুদ্ধ
শুব,অশুভ
শুষ্ক,আর্দ্র
শূন্য,পূর্ণ
শূর,ভীতু
শৃল,অশৃঙ্খল
শেষ,শুরু
শোক,হর্ষ
শোধন,দূষণ
শোভন,অশোভন
শোষক,শোষিত
শৌখিন,পেশাদার
শ্রম,বিশ্রাম
শ্রমিক,মালিক
শ্রদ্ধা,ঘৃণা
শ্ৰব্য,অশ্ৰব্য
শ্রান্ত,অশ্রান্ত
শ্ৰী,অশ্ৰী
শ্রোতা,বক্তা
শ্লাঘা,নিন্দা
শ্লথ,দ্রুত
শ্বশুর,শাশুড়ি
শ্বাস,প্রশ্বাস
শ্বেত,কৃষ্ণ
ষণ্ড,গাভী
ষাঁড়,গাই
সংকীৰ্ণ,প্রশস্ত
সংকুচিত,প্রসারিত
সংক্ষেপ,বিস্তার
সংগত,অসংগত
সংগ্রাম,শান্তি
সংঘ,ব্যক্তি
সংযত,অসংযত
সংযোগ,বিয়োগ
সংরক্ষণ,বিনাশ
সংশয়,প্রত্যয়
সংশ্লেষ,বিশ্লেষণ
সংসার,সন্ন্যাস
সংস্কার,কুসংস্কার
সংহতি,বিভক্তি
সকাম,নিষ্কাম
সকার,নিরাকার
সক্রিয়,নিষ্ক্রিয়
সক্ষম,অক্ষম
সখ,সাধ
সখা,শত্রু
সগর্ব,বিনীত
সগুণ,নির্গুণ
সচল,অচল
সচেতন,অচেতন
সচেষ্ট,নিশ্চেষ্ট
সচ্ছল,অসচ্ছল
সজাগ,ঘুমন্ত
সজীব,নির্জীব
সঞ্চয়,অপচয়
সততা,অসততা
সতী,অসতী
সতর্ক,অসতর্ক
সত্য,মিথ্যা
সদয়,নির্দয়
সদস্য,অনাত্মীয়
সদাচার,কদাচার
সদ্য,বাসি
সধবা,বিধবা
সনাতন,নূতন
সন্তান,নিঃসন্তান
সন্তোষ,অসন্তোষ
সন্দেহ,বিশ্বাস
সন্ধি,বিগ্রহ
সন্ধ্যা,প্রাতঃ
সন্ন্যাসী,গৃহী
সপক্ষ,বিপক্ষ
সফল,বিফল
সবল,দুর্বল
সবার,একলা
সম,বিষম
সমক্ষ,পরোক্ষ
সমগত,বিগত
সমতল,বন্ধুর
সমতা,বিষমতা
সময়,অসময়
সমর্থ,অসমর্থ
সমর্থন,বিরোধিতা
সমষ্টি,ব্যষ্টি
সমাস,ব্যাস
সমাপ্ত,অসমাপ্ত
সমীচীন,অসমীচীন
সমীপ,দূর
সমুচিত,অনুচিত
সম্ভাবনা,নিশ্চয়তা
সম্মান,অপমান
সম্মুখ,পশ্চাৎ
সরল,কূটিল/বক্র
সরস,নীরস
সরু,মোটা
সর্দার,অনুচর
সর্বদা,কদাচিৎ
সসীম,অসীম
সহজ,কঠিন
সহযোগ,অসহযোগ
সহ্য,অসহ্য
সাকার,নিরাকার
সাক্ষর,নিরক্ষর
সাক্ষী,বাদী
সাগরেদ,ওস্তাদ
সাড়া,শব্দ
সাদৃশ্য,বৈসাদৃশ্য
সাধ,সাধ্য
সাধক,বাধক
সাধারণ,অসাধারণ
সাধু,অসাধু
সাধ্য,অসাধ্য
সান্ত্বনা,ভৎসনা
সাপেক্ষ,নিরপেক্ষ
সাবালক,নাবালক
সামনে,পিছনে
সাম্য,বৈষম্য
সামান্য,অসামান্য
সাময়িক,স্থায়ী
সার,অসার
সার্থক,নিরর্থক
সার্বজনীন,ব্যক্তিগত
সাহস,ভয়
সাহসী,ভীরু
সিত,অসিত
সিদ্ধ,অসিদ্ধ
সিন্ধু,বিন্দু
সুগম,দুর্গম
সুজন,কুজন
সুদিন,দুর্দিন
সুদ,আসল
সুন্দর,কুৎসিত
সুনাম,দুর্নাম
সুপথ,কুপথ
সুপুত্র,কুপুত্র
সুবোধ,দুর্বোধ
সুর,অসুর
সুলভ,দুর্লভ
সুশ্রী,কুশ্রী
সুস্থ,অসুস্থ
সূক্ষ্ম,স্থূল
সূচনা,সমাপ্তি
সূর্য,চন্দ্র
সৃষ্টি,ধ্বংস/লয়
সেকাল,একাল
সেবক,প্রভু
সেবা,অপকার
সোনা,রূপা
সৌভাগ্য,দুর্ভাগ্য
সৌম্য,উগ্র
সৌন্দর্য,কুৎসিত
স্কুল,কলেজ
স্তুতি,নিন্দা
স্থূল,সূক্ষ্ম
স্থায়ী,অস্থায়ী
স্থাবর,অস্থাবর
স্পষ্ট,অস্পষ্ট
স্পর্শ,অস্পর্শ
স্ফীত,কুঞ্চিত
স্মরণ,বিস্মরণ
স্মৃতি,বিস্মৃতি
স্বকীয়,পরকীয়
স্বগত,প্রকাশ্য
স্বতন্ত্র,পরতন্ত্র
স্বদেশ,বিদেশ
স্বপ্ন,বাস্তব
স্বভাব,কৃত্রিম
স্বর্গ,নরক
স্বল্প,অধিক
স্বস্তি,অস্বস্তি
স্বাক্ষর,নিরক্ষর
স্বাগত,বিদায়
স্বাধীন,পরাধীন
স্বাভাবিক,অস্বাভাবিক
স্বামী,স্ত্রী
স্বার্থ,পরার্থ
স্বাস্থ্য,অস্বাস্থ্য
স্বীকার,অস্বীকার
হর্ষ,বিষাদ
হাঁ,না
হাজির,গড়হাজির
হাট,বাজার
হাড়,মাংস
হাত,পা
হানি,লাভ
হার,জিত
হাসি,কান্না
হিংসা,অহিংসা
হিত,অহিত
হিসাব,বেহিসাব
হীন,মহৎ
হৃদ্য,বিদ্বেষ
হ্রাস,বৃদ্ধি
হ্রস্ব,দীর্ঘ
ক্ষণস্থায়ী,দীর্ঘস্থায়ী
অকূল,সুকূল
অকালবোধন,বিসর্জন
অকূলপাথার,কূল
অঘটন,সুঘটন
অঘোর,সজাগ
অজপা,জপা
অজমূর্খ,পণ্ডিত
অটল,টলায়মান
অতনু,সতনু
অত্যন্ত,সামান্য
অত্র,তত্র
অদদ্রি,সদদ্রি
অতীন্দ্রিয়,ঐন্দ্রিয়ক
অদৃষ্টপূর্ব,দৃষ্টপূর্ব
অধর্ম,সধর্ম
অধঃস্তন,উর্ধ্বতন
অধীত,অনধীত
অনঘ,সঘ
অননুকূল,অনুকূল
অননুকরণীয়,অনুকরণযোগ্য
অনপনেয়,পনেয়
অনন্বিত,অন্বিত
অনভিজ্ঞ,অভিজ্ঞ
অনভিপ্রেত,অভিপ্রেত
অনবরত,বিরত
অনলস,অলস
অনাকুল,ব্যাকুল
অনামা,সনামা
অনিকেত,সনিকেত
অনিত্য,নিত্য
অনিদ্রা,জাগরণ
অনিন্দ্য,নিন্দ্য
অনিরুদ্ধ,রূদ্ধ
অনির্বাণ,নির্বাণ
অন্বয়,ব্যতিরেক
অনুক্ষণ,কদাচিৎ
অনুগৃহীত,নিগৃহীত
অনুজ্জ্বল,দীপ্ত
অনূঢ়া,উঢ়া
অন্ত্যজ,অভিজাত
অপকর্ষ,উৎকর্ষ
অপপ্রয়োগ,সুপ্রয়োগ
অপাংক্তেয়,পাংক্তেয়
অবাধ,বাধাপ্রাপ্ত
অভিজাত,ইতর
অভিনব,পুরাতন
অভিব্যক্তি,তিরোভাব
অভ্যুত্থান,দমন
অমরাবতী,নরক
অমলিন,মলিন
অমোঘ,ব্যর্থ
অযাচিত,যাচিত
অরক্ষণীয়,রক্ষণীয়
অরাতি,মিত্র
অলক্ষ্মী,লক্ষ্মী
অল্পপ্রাণ,মহাণ
অশনিপাত,আশীর্বাদ
অশ্লীল,শ্লীল
অসিত,সিত
অসূয়া,অনসূয়া
অসাদ্দ্য,সাদ্দ্য
অসার,সারবান
অসুর,সুর
অস্তমিত,উদিত
অস্তাচল,উদয়াচল
অস্থিমজ্জা,বাহ্যিক
অহং,নিরহং
অহর্নিশ,কদাচিৎ
অহিত,হিত
অহোরাত্র,ক্ষণকাল
আকীর্ণ,বিকীর্ণ
আকুল,প্রশান্ত
আকুলতা,প্রশান্তি
আক্ষরিক,ভাবার্থ
আখ্যাত,অখ্যাত
আখ্যান,উপাখ্যান
আগম,নিগম
আগুয়ান,পিছুটান
আচারনিষ্ঠ,অনাচারী
আচ্ছন্ন,উন্মুক্ত
আটপৌরে,জমকালো
আততায়ী,রক্ষক
আতঙ্কিত,নির্ভয়
আত্মনির্ভর,পরনির্ভর
আত্মসাৎ,প্রত্যর্পণ
আদিম,অন্তিম
আদিষ্ট,নিষিদ্ধ
আদ্র,শুষ্ক
আধিভৌতিক,আধিদৈবিক
আধ্যাত্মিক,জাগতিক
আধেয়,আধার
আনত,উন্নত
আনুগত্য,বিদ্রোহ
আনুপাতিক,অসংলগ্ন
আপাতত,চিরকাল
আপাতদৃষ্টে,প্রকৃতপক্ষে
আপামর,বিশেষ
আপ্লুত,শুষ্ক
আস্তর,অনাস্তর
আবির্ভূত,তিরোহিত
আবেষ্টনী,মুক্ত
আভোগ,উপসংহার
আমরণ,ক্ষণকাল
আমেজ,নিরস
আরব্ধ,সমাপ্ত
আরাধ্য,হেয়
আরামপ্রদ,কষ্টদায়ক
আলিঙ্গন,প্রত্যাখ্যান
আলোড়ন,স্তব্ধতা
আশাবাদি,নিরাশাবাদী
আশু,বিলম্বিত
আসন্ন,দূরবর্তী
আসক্তি,বিরাগ
আস্কালান,বিনয়
আস্তাবল,লোকালয়
আস্তিক্য,নাস্তিক্য
আস্বাদন,অরুচি
আহ্বান,প্রত্যাখ্যান
ইঙ্গিতময়,স্পষ্ট
ইতস্তত,দৃঢ়
ইতিকথা,ভূমিকা
ইষ্ট,অনিষ্ট
ইন্দ্রজাল,বাস্তব
ইষৎ,প্রবল
ঈক্ষণ,অবেক্ষণ
ঈপ্সা,বিরতি
ঈশান,নৈঋত
উচাটন,প্রশান্ত
উচ্ছৃঙ্খল,শৃঙ্খলিত
উচ্ছ্বসিত,ম্লান
উচ্ছেদ,প্রতিষ্ঠা
উজাড়,ভরাট
উত্কণ্ঠা,নির্লিপ্ততা
উত্কৃষ্ট,নিকৃষ্ট
উত্তেজিত,শমিত
উত্তেজক,শমক
উত্থাপিত,গৃহীত
উৎকর্ষ,অপকর্ষ
উৎপাদন,ধ্বংস
উৎসর্গ,গ্রহণ
উৎসব,শোক
উদম,আলস্য
উদাসীন,উত্সুক
উদ্ধারকারী,ঘাতক
উদ্বিগ্ন,নিশ্চিন্ত
উদ্যত,নিবৃত্ত
উদ্বৃত্ত,ঘাটতি
উন্মত্ত,প্রশান্ত
উন্মেষ,বিনাশ
উপকণ্ঠ,কেন্দ্রস্থল
উপজাত,মূলজাত
উপসংহার,উপক্রমণিকা
উপদিষ্ট,অনুপদিষ্ট
উপদেশক,আজ্ঞাবহ
উপরি,অধঃ
উপহাস,শ্রদ্ধা
উপাখ্যান,মূলগ্রন্থ
উপাচার্য,আচার্য
উপার্জনকারী,নির্ভরশীল
উপেক্ষিত,আদৃত
উল্লম্ব,অনুভূমিক
উষ্ণীষ,পাদুকা
ঊর্ধ্বগামী,অধোগামী
ঊহ্য,ব্যক্ত
ঋদ্ধিমান,বিপন্ন
একনিষ্ঠ,বহুনিষ্ঠ
একদেশদর্শী,নিরপেক্ষ
একাকী,সদলে
একলব্য,সতীর্থ
ঐক্যবদ্ধ,বিচ্ছিন্ন
ঐশ্বর্যশালী,নিঃস্ব
ওজস্বী,নিস্তেজ
ঔদাস্য,উৎসাহ
ককশা,মধুরভাষী
কবন্ধ,সশরীরী
কম্পমান,স্থির
করতলগত,মুক্ত
কর্তৃত্ব,দাসত্ব
কলুষিত,পবিত্র
কল্পিত,বাস্তব
কায়ক,মানসিক
কারুণ্য,নিষ্ঠুরতা
কালজয়ী,ক্ষণস্থায়ী
কালিমা,জ্যোতি
কাষ্ঠহাসি,মনখোলা
কিঞ্চিৎ,প্রচুর
কীটদষ্ট,অক্ষত
কুঞ্চিত,প্রসারিত
কুখ্যাত,বিখ্যাত
কুতর্ক,সুযুক্তি
কুপিত,শান্ত
কৃত্রিমতা,সরলতা
কৃশাঙ্গ,স্থূলাঙ্গ
কৈশোর,বার্ধক্য
কোমলতা,কঠোরতা
ক্রমাগত,বিচ্ছিন্ন
ক্লান্তিহীন,শ্রান্ত
ক্ষণজন্মা,সাধারণ
ক্ষত,অক্ষত
ক্ষতিপূরণ,জরিমানা
ক্ষিপ্রগতি,মন্থর
ক্ষীণকায়,স্থূলকায়
ক্ষুব্ধ,সন্তুষ্ট
ক্ষুরধার,ভোঁতা
খেচর,ভূচর
খোলামেলা,সংকীর্ণ
খ্যাতিমান,অখ্যাত
গগনবিদারী,মৃদু
গচ্ছিত,ব্যয়িত
গতানুগতিক,ব্যতিক্রমী
গতিশীল,স্থবির
গভীরতা,অগভীরতা
গরিয়সী,লঘীয়সী
গহিন,পল্লব
গাঢ়,তরল
গুণগ্রাহী,অসূয়ক
গুচ্ছ,বিচ্ছিন্ন
গূঢ়,ব্যক্ত
গৃহস্থ,সন্ন্যাসী
গৃহীত,বর্জিত
গোধূলি,উষা
গোপনীয়তা,স্বচ্ছতা
গোপন,প্রকাশ
গোলাপী,ধূসর
গৌণ,মুখ্য
চঞ্চল,স্থির
চর,অচর
চরম,নরম
চলমান,স্থির
চাক্ষুষ,পরোক্ষ
চিত্ত,অচিত্ত
চিন্তা,নিশ্চিন্ততা
চিন্ময়,মৃন্ময়
চৌকস,আনাড়ি
ছায়াময়,আলোকিত
জঙ্গম,স্থাবর
জরুরি,নগণ্য
জাগ্রত,নিদ্রিত
জাতি,বিজাতি
জ্যান্ত,মরা
জুয়াড়ি,সৎ
ঝাঁঝালো,মিষ্টি
তকদির,তদবির
তনু,স্থূল
তারল্য,কাঠিন্য
তিমির,আলোক
তৃপ্তি,অতৃপ্তি
ত্যাজ্য,গ্রাহ্য
দয়া,নিষ্ঠুরতা
দরদি,বেপরোয়া
দীপ্ত,ম্লান
দেয়,নেয়
দেনদার,পাওনাদার
দেশি,বিদেশি
দ্বন্দ,মিলন
ধুর্ত,সরল
ধূর্তামি,সাধুতা
নাস্তিক,আস্তিক
নিরামিষ,আমিষ
নিরাশা,আশা
নিষ্ঠুর,দয়ালু
পরিচ্ছন্ন,নোংরা
পল্লি,শহর
পাপ,পুণ্য
পার্থিব,অপার্থিব
পিছনে,সামনে
পেশাদার,অপেশাদার
প্রতক্ষ্য,পরোক্ষ
প্রথা,অপ্রথা
প্রশান্তি,অশান্তি
ফলপ্রসূ,নিষ্ফল
বহির্মুখী,অন্তর্মুখী
বাহ্যিক,অভ্যন্তরীণ
বিজ্ঞ,অজ্ঞ
বিপদ,সম্পদ
ভর্ৎসনা,প্রশংসা
ভাঙা,গড়া
ভালো,মন্দ
মা,বাবা
মায়াস্পর্শ,নিষ্ঠুরতা
মিটিমিটি,উজ্জ্বল
শুভ,অশুভ
শৃঙ্খল,অশৃঙ্খল
শ্রব্য,অশ্রব্য
শ্রী,অশ্রী
সংকীর্ণ,প্রশস্ত
অম্ল,মধুর
অলস,পরিশ্রমী
অজ্ঞান,সজ্ঞান
আকাশ,পাতাল
আসল,নকল
আগে,পিছে
আবৃত,অনাবৃত
আমদানি,রপ্তানি
আবশ্যক,অনাবশ্যক
আঁটি,শ্বাস
আবিল,অনাবিল
আসামী,ফরিয়াদী
ইচ্ছুক,অনিচ্ছুক
ইদানীন্তন,তদানীন্তন
ইহলৌকিক,পারলৌকিক
ঈমান,বেঈমান
উদ্ভাসিত,ম্রিয়মাণ
উৎকৃষ্ট,নিকৃষ্ট
উল্লেখ,অনুল্লেখ
উপকারিতা,অপকারিতা
উপচিকীর্ষা,অপচিকীর্ষা
উন্মুখ,বিমুখ
উতরানো,তলানো
উদ্ভুত,পড়ভূত
উত্থিত,পতিত
উত্তরায়ন,দক্ষিণায়ন
উত্রাই,চড়াই
উষর,উর্বর
উষা,সন্ধ্যা
ঊর্ধ্বগতি,অধোগতি
উহ্য,স্পষ্ট
এঁড়ে,বকনা
একুল,ওকুল
এদিক,ওদিক
ঐক্যমত্য,মতভেদ
কড়ি,কড়িশূন্য
ক্রন্দন,হাস্য
কৃষ,স্থূল
কৃশকায়,স্থূলকায়
কল্পনা,বাস্তব
কাজ,বিশ্রাম
কার্যকর,অকার্যকর
কুমেরু,সুমেরু
কুরুচি,সুরুচি
কুশিক্ষা,সুশিক্ষা
কেলেঙ্কারি,সুনাম
কু,সু
কৃত্রিম,স্বাভাবিক
ক্ষীয়মাণ,বর্ধমান
খিড়কি,সিংহদ্বার
খুঁত,নিখুঁত
খুব,অল্প
খ্যাত,অখ্যাত
খোঁজ,নিখোঁজ
খুশি,অখুশি
খাদ্য,অখাদ্য
খরিদ,বিক্রয়
গৌরব,লাঘব
গরিষ্ঠ,লঘিষ্ঠ
গুরু,লঘু
গুণ,দোষ
গোপনীয়,প্রকাশ্য
গণ্য,নগণ্য
গ্রহীতা,দাতা
গুপ্ত,ব্যক্ত
ঘুমন্ত,জাগ্রত
ঘাটতি,বাড়তি
ঘরোয়া,বাহির
চপল,গম্ভীর
চোখা,ভোঁতা
চিরায়ত,সাময়িক
চিরন্তন,ক্ষণকালীন
চিন্তনীয়,অচিন্তনীয়
চালু,অচল
ছটফটে,শান্ত
ছোকড়া,বুড়ো
জনাকীর্ণ,জনবিরল
জ্যেষ্ঠা,কনিষ্ঠা
জ্বলন্ত,নিভন্ত
জলে,স্থলে
জ্ঞাতসারে,অজ্ঞাতসারে
জ্যোৎস্না,অমাবস্যা
ঝুনো,কাঁচা
ঝানু,অদক্ষ
টক,মিষ্টি
টাটকা,বাসি
ডুবা,ভাসা
তখন,এখন
ত্বরিত,শ্লথ
তন্বয়,মন্ময়
তেজি,মন্দা
থৈ,অথৈ
দুষ্কৃত,সুকৃত
দয়ালু,নিষ্ঠুর
দ্বৈত,অদ্বৈত
দ্বিধা,নির্দ্বিধা
দুর্দিন,সুদিন
দুর্জন,সুজন
দুর্গম,সুগম
দুঃশীল,সুশীল
দিক,বিদিক
ধনবান,ধনহীন
ধনিক,শ্রমিক
ধনাত্মক,ঋণাত্মক
ধূর্ত,বোকা
ধারালো,ভোঁতা
নেতিবাচক,ইতিবাচক
নন্দিত,নিন্দিত
নব,পুরাতন
নিষেধ,বিধি
নীরস,সরস
নিরত,বিরত
নিশ্চয়তা,অনিশ্চয়তা
নির্লজ্জ,সলজ্জ
নির্দেশক,অনির্দেশক
নিচেষ্ট,সচেষ্ট
পণ্ডিত,মূর্খ
প্রবীণ,নবীন
প্রকৃতি,বিকৃতি
প্রসারণ,সংকোচন
পরকাল,ইহকাল
प्रत्यर্থী,অর্থী
প্রীতিকর,অপ্রীতিকর
প্রারম্ভ,শেষ
প্রশ্বাস,নিঃশ্বাস
অশান্ত,শান্ত
প্রবাসী,স্বদেশী
প্রতীচী,প্রাচী
পুণ্যবান,পুণ্যহীন
পরিশোধিত,অপরিশোধিত
প্রত্যক্ষ,পরোক্ষ
প্রতিযোগী,সহযোগী
প্রকৃষ্ট,নিকৃষ্ট
পদার্থ,অপদার্থ
পূর্বাহ্ণ,অপরাহ্ণ
পড়া,ওঠা
পক্ষ,বিপক্ষ
ফলবান,নিষ্ফলা
পক্ব,অপক্ব
ফাঁপা,নিরেট
বরখাস্ত,বহাল
বধূ,বর
বিনীত,দুর্বিনীত/উদ্ধত
বন্দনা,গঞ্জনা
বিয়োগান্ত,মিলনান্ত
ব্যর্থতা,সার্থকতা
বিরহ,মিলন
বিলম্বিত,দ্রুত
বিপথ,সুপথ
বিদ্যমান,অবিদ্যমান
বিজন,সজন
বাহুল্য,স্বল্পতা
বামপন্থী,ডানপন্থী
বন্ধন,মুক্তি
বন্ধুর,মসৃণ
বিরক্ত,অনুরক্ত
বিশ্রী,সুন্দর
ভণ্ড,সাধু
ভেজাল,খাঁটি
ভাঁটা,জোয়ার
ভূ-স্বামী,ভূমিহীন
ভূমিকা,উপসংহার
মিত্র,শত্রু
মনীষা,নির্বোধ
মনোযোগী,অমনোযোগী
মর্যাদা,অমর্যাদা
মৌখিক,লিখিত
মানা,অমানা
মিঠা,তিতা
মোক্ষ,বন্ধন
যান্ত্রিক,প্রাকৃতিক
যৌথ,একক
যুগল,একক
রব,নীরব
রাগ,বিরাগ
রিক্ত,পূর্ণ
রুগ্ণ,সুস্থ
রানী,রাজা
রুষ্ট,তুষ্ট
রক্ষক,ভক্ষক
লেন,দেন
লঘিষ্ঠ,গরিষ্ঠ
লাল,কালো
লম্ব,তির্যক
লক্ষ্মী,অলক্ষ্মী
লাজুক,নির্লজ্জ
লিপ্সা,বিরাগ
লওয়া,দেওয়া
শিষ্ট,অশিষ্ট
শৈত্য,উত্তাপ
শুচি,অশুচি
শালীন,অশালীন
শায়িত,উত্থিত
শঠ,সাধু
শর্বরী,দিবস
শ্রীযুক্ত,শ্রীহীন
সিক্ত,শুষ্ক
সকর্মক,অকর্মক
সুষম,অসম
সুখ্যাতি,কুখ্যাতি
সম্বল,নিঃসম্বল
স্থলভাগ,জলভাগ
সৌভাগ্যবান,ভাগ্যাহত
সুপ্ত,জাগ্রত
সরকারি,বেসরকারি
সুধা,গরল
সুদর্শন,কুদর্শন
সাহসিকতা,ভীরুতা
সাবালিকা,নাবালিকা
সম্প্রসারণ,সংকোচন
সদর,অন্দর
সত্বর,ধীর
সংশ্লেষণ,বিশ্লেষণ
সংহত,বিভক্ত
সহিষ্ণু,অসহিষ্ণু
সজ্ঞান,অজ্ঞান
সচ্চরিত্র,দুশ্চরিত্র
সংক্ষিপ্ত,বিস্তৃত
হুঁশ,বেহুঁশ
হক,বেহক
হলাহল,অমৃত
হৃদ্যতা,শত্রুতা
হিসেবি,বেহিসেবি
হালকা,ভারি
হাল,সাবেক
